combined_recipe,combined_ingredients
"Cookies By Design Cookies On A Stick Steps: 1) place melted butter in a large mixing bowl and add each remaining ingredient as listed , beating well after each addition to achieve a smooth dough 2) let dough stand uncovered 10 minutes 3) make golf-ball-sized shapes of the dough and insert a flat , wooden popsicle stick into one side of each ball 4) carefully flatten each ball of dough to a 1 / 2 inch thick patty 5) place 3 inches apart on greased baking sheets 6) bake at 400f for 6-8 minutes or til just browned around the edges , but still white on tops of cookies 7) remove from the oven and smear the top of each cookie generously with heated , canned , ready-to-spread frosting 8) frostings may be tinted with few drops food coloring once it has been heated 9) let cookies cool on baking sheet 10 minutes before carefully removing to paper towels Ingredients: butter, eagle brand condensed milk, light brown sugar, sour cream, egg, extract, nutmeg, self-rising flour, bisquick, wooden popsicle sticks","butter, eagle brand condensed milk, light brown sugar, sour cream, egg, extract, nutmeg, self-rising flour, bisquick, wooden popsicle sticks, southern_us"
"Cookies By Design Sugar Shortbread Cookies Steps: 1) whip sugar and shortening in a large bowl , add eggs and beat well 2) add remaining ingredients and mix 3) knead dough into ball , roll out and cut 4) place on cookie sheet 5) bake at 350 degrees f for 10 to 12 minutes Ingredients: granulated sugar, shortening, eggs, flour, cream of tartar, baking soda, vanilla extract","granulated sugar, shortening, eggs, flour, cream of tartar, baking soda, vanilla extract, french"
"Singapore Fried Noodles Steps: 1) PREPARATION. 2) Boil noodles until cooked but still firm- 3 minutes. 3) Drain and rinse with cold water, then refrigerate. 4) Thaw shrimp and cut off tails. 5) Beat eggs and stir fry/scramble. 6) Set aside. 7) Blanch bean sprouts, water chestnuts and corn. 8) Set aside. 9) Slice onion and set aside. 10) Mix sauce ingredients in bowl and set aside. 11) STIR FRY. 12) Add 2 tbsp peanut oil to hot wok. 13) When oil begins to smoke, toss in garlic, ginger, shrimp& blanched vegetables. 14) Stir-fry on high heat for 2 minutes. 15) Add sauce and continue cooking about three minutes. 16) Remove to holding bowl. 17) Rinse wok and return to high heat. 18) When it is dry, reduce heat to medium and add remaining peanut oil. 19) Heat oil to moderate (don`t let it smoke). 20) Add curry powder, stirring to mix with oil. 21) Cook curry powder for about 30 seconds, making sure it doesn't burn. 22) Add noodles and toss to coat and heat them. 23) Add vegetables and toss together. 24) Turn heat down to low. 25) Slice tomatoes. 26) Add eggs and tomatoes and shrimp and mix together. Ingredients: 1 package chow mein noodles, 10 large cooked frozen shrimp, 3 eggs, 1 can bean sprouts, 1 can water chestnut, 1 can baby sweet corn cob, 1 small onion, 2 medium tomatoes, 1 clove garlic, minced, 1 teaspoon fresh ginger, minced, 1 tablespoon curry powder, 6 tablespoons peanut oil, 1/2 cup canned chicken broth or 1/2 cup stock, 2 teaspoons soy sauce, 1 teaspoon sugar, 3 teaspoons chili oil","1 package chow mein noodles, 10 large cooked frozen shrimp, 3 eggs, 1 can bean sprouts, 1 can water chestnut, 1 can baby sweet corn cob, 1 small onion, 2 medium tomatoes, 1 clove garlic, minced, 1 teaspoon fresh ginger, minced, 1 tablespoon curry powder, 6 tablespoons peanut oil, 1/2 cup canned chicken broth or 1/2 cup stock, 2 teaspoons soy sauce, 1 teaspoon sugar, 3 teaspoons chili oil, chinese"
"Singapore Chilli Prawns (Shrimp) Steps: 1) Heat oil and stir fry prawns until they change colour. 2) Remove to a plate. 3) Add garlic, ginger, black bean paste and chilli, stir fry for 1-2 minutes. 4) Return prawns to wok with ketchup, vinegar and sugar, stir fry until hot. 5) Sprinkle with chives and serve with rice. Ingredients: 2 tablespoons oil, 500 g green prawns (uncooked), 1 teaspoon ginger, minced, 2 teaspoons garlic, minced, 2 teaspoons black bean paste, 1 tablespoon chili, minced, 1/4 cup ketchup, 1 tablespoon malt vinegar, 2 teaspoons brown sugar, chives (to garnish)","2 tablespoons oil, 500 g green prawns (uncooked), 1 teaspoon ginger, minced, 2 teaspoons garlic, minced, 2 teaspoons black bean paste, 1 tablespoon chili, minced, 1/4 cup ketchup, 1 tablespoon malt vinegar, 2 teaspoons brown sugar, chives (to garnish), chinese"
"Coconut Curd | Kaya(Singapore) Steps: 1) Whisk the sugar, yolks and coconut milk and then strain into a heatproof bowl. 2) Place the bowl over a pot of rapidly simmering water (don’t let the water touch the bottom of the bowl). Stir often until the curd starts to thicken. 3) Once the curd is a bit thicker, you can stir a little less often. 4) Cook about 45 minutes to an hour, or until thick enough to coat the back of a spoon without running together. 5) Tip: If the custard doesn’t seem to be thickening after 10-20 minutes, try increasing the heat. 6) Cool and keep refrigerated. The curd will thicken as it cools. Ingredients: 1 (13 1/2 ounce) can coconut milk (not light), 3 egg yolks, 3/4 cup sugar","1 (13 1/2 ounce) can coconut milk (not light), 3 egg yolks, 3/4 cup sugar, brazilian"
"Singapore Sling Slush Steps: 1) Mix all ingredients except 7-up. 2) Place in freezer overnight (1day). 3) Add desired amount to your glass and fill with 7-up-- ENJOY! Ingredients: 12 ounces gin, 1/2 cup cherry brandy, 1/2 cup grenadine, 1/2 cup lemon gin, 1 (12 ounce) can frozen pink lemonade concentrate, 1 (19 ounce) can pineapple juice, 4 cups water, 1/2 cup sugar, 7-Up soda or Sprite","12 ounces gin, 1/2 cup cherry brandy, 1/2 cup grenadine, 1/2 cup lemon gin, 1 (12 ounce) can frozen pink lemonade concentrate, 1 (19 ounce) can pineapple juice, 4 cups water, 1/2 cup sugar, 7-Up soda or Sprite, southern_us"
"Crispy Oven-Roasted Pork Recipe Steps: 1) Wash and clean pork thoroughly under running water. 2) Immerse and gently cook in hot water, at a temperature slightly below boiling point for 30 minutes. This helps to get rid of pork offensive odor. 3) Use a knife to scrape and clean the skin. 4) Pat dry and season the meat with ground pepper, except the skin. 5) Pierce pork skin with meat tenderizer or fork, it helps the skin to crisp up. 6) Brush the pork skin with vinegar. 7) Wrap sides of the meat with aluminum foil with skin side up. Cover the skin side with generous amount of salt, bake in the preheated oven at 200°C (400°F) for 1 hour. 8) Remove aluminum foil and salt, then bake for another 40 minutes at 250°C/480°F to brown and turn the skin to crispy. Cooking time may vary depending on individual oven, adjust accordingly. 9) It is ready when the skin all bubbled up. 10) Place the pork crackling-side down, cut into strips and chunks. Ingredients: 1 pork belly with skin, ½ tsp ground pepper, salt (cover whole pork skin ), ¼ cup vinegar, ½ tsp five spice powder (optional)","1 pork belly with skin, ½ tsp ground pepper, salt (cover whole pork skin ), ¼ cup vinegar, ½ tsp five spice powder (optional), filipino"
"Assam Laksa (Asam Laksa) Steps: 1) For Laksa soup: 2) Bring 3300 ml of water to the boil in a large pot, turn to medium heat, cook kembung fish for 10 minutes. Drain cooked fish, remove flesh from fish. Break fish bones into smaller pieces. 3) Blend red chilies with 200 ml of water until fine. Pound shallot, garlic, galangal, turmeric and lemongrass. 4) Add fish bones, blended chilli, pounded ingredients, bird’s eye chilies, ginger flower, pineapple, daun kesum, tamarind pieces, tamarind paste and belacan to fish stock. Bring to the boil, reduce to low heat, cover and cook for 1 hour 30 minutes. 5) Remove ingredients from the stock, then strain the stock through a sieve. 6) Bring strained stock to the boil, add in kembung flesh, canned sardine, sugar, salt, ikan bilis stock granule and lemon juice. 7) Bring to the boil again, then off the heat. 8) For Laksa serving ingredients: 9) Blanch Laksa noodles with hot water, then rinse until cooled with water. 10) Shred lettuce, onion and cucumber. Cut pineapple flesh into strips. Chop ginger flower. Cut bird’s eye chilies. 11) Dilute thick prawn paste with 3 tbsps of hot water. 12) To serve: 13) Put Laksa noodles in deep serving plate, top with shredded ingredients, pineapple strips, chopped ginger flower and bird’s eye chilies. 14) Add in Laksa soup with fish flesh, garnish with mint leaves. Serve hot with diluted prawn paste if desired. Ingredients: 1 kg kembung fish (cleaned), 3300 ml water, 200 g red chilies + 200 ml water (blended), 300 g shallot (pounded), 50 g garlic (pounded), 50 g galangal/lengkuas (pounded), 4 g turmeric/kunyit (2-cm pounded), 7 stalks lemongrass/serai (pounded), 7 pieces bird’s eye chilies/cili padi (halved), 1 stalk torch ginger flower/bunga kantan (halved), 100 g Laksa leaves/daun kesum, 500 g pineapple flesh chunks, 30 g tamarind pieces/asam keping, 100 g tamarind paste/asam Jawa, 12 g belacan, 425 g canned sardines (1 large can), 8½ tbsps sugar, 2 tsps fine salt, 1 cube ikan bilis stock granule, 7½ tbsps lemon juice (about 2 lemon), 1.8 kg Laksa noodles, 100 g lettuce (1 head shredded), 100 g onion (shredded), 200 g cucumber (1 piece shredded), 250 g pineapple flesh strips, 1 stalk torch ginger flower (flower only, chopped), adequate bird’s eye chilies (cut), 50 g mint leaves, 100 g thick prawn paste + 3 tbsps hot water","1 kg kembung fish (cleaned), 3300 ml water, 200 g red chilies + 200 ml water (blended), 300 g shallot (pounded), 50 g garlic (pounded), 50 g galangal/lengkuas (pounded), 4 g turmeric/kunyit (2-cm pounded), 7 stalks lemongrass/serai (pounded), 7 pieces bird’s eye chilies/cili padi (halved), 1 stalk torch ginger flower/bunga kantan (halved), 100 g Laksa leaves/daun kesum, 500 g pineapple flesh chunks, 30 g tamarind pieces/asam keping, 100 g tamarind paste/asam Jawa, 12 g belacan, 425 g canned sardines (1 large can), 8½ tbsps sugar, 2 tsps fine salt, 1 cube ikan bilis stock granule, 7½ tbsps lemon juice (about 2 lemon), 1.8 kg Laksa noodles, 100 g lettuce (1 head shredded), 100 g onion (shredded), 200 g cucumber (1 piece shredded), 250 g pineapple flesh strips, 1 stalk torch ginger flower (flower only, chopped), adequate bird’s eye chilies (cut), 50 g mint leaves, 100 g thick prawn paste + 3 tbsps hot water, thai"
"Singapore Noodles Steps: 1) Separate noodles, then soak according to package directions. If noodles soften before you need them, drain and toss with a little vegetable oil. 2) Rinse shrimp under cold water. Pat dry. Cut chicken in half lengthwise, then slice into strips. Slice onion into 1 inch pieces. Slice carrot into julienne strips. Thinly slice pepper. In small bowl, stir lime juice with soya sauce, water, 1 Tbsp oil. 3) Heat remaining oil in large pan or wok over med-high heat. Add chicken and fry until lightly golden (3 minutes). Add shrimp, carrot, red pepper, garlic, and ginger. Sprinkle with curry powder and salt. Stir often until shrimp turn bright pink, 3 minutes. Add drained noodles, then lime mixture. Stir often, separating noodles, until hot, and noodles turn yellow, 2 minutes. Remove from heat and stir in onions and coriander. 4) If you want the dish to have more spice add a little hot sauce. 5) Enjoy! Ingredients: 250 g rice vermicelli, 450 g frozen peeled uncooked large shrimp, 1 boneless skinless chicken breast, 2 green onions, 1 carrot, 1/2 red pepper, 2 tablespoons lime juice, 1 tablespoon soya sauce, 1 tablespoon water, 2 tablespoons vegetable oil, 1 teaspoon minced garlic, 1 teaspoon grated ginger (or bottled), 2 teaspoons curry powder, 1/2 teaspoon salt, 1/3 cup fresh coriander (chopped and optional)","250 g rice vermicelli, 450 g frozen peeled uncooked large shrimp, 1 boneless skinless chicken breast, 2 green onions, 1 carrot, 1/2 red pepper, 2 tablespoons lime juice, 1 tablespoon soya sauce, 1 tablespoon water, 2 tablespoons vegetable oil, 1 teaspoon minced garlic, 1 teaspoon grated ginger (or bottled), 2 teaspoons curry powder, 1/2 teaspoon salt, 1/3 cup fresh coriander (chopped and optional), indian"
"Homemade Singapore Chilli Sauce Steps: 1) Grind chillies, shallots, garlic and ginger till semi-fine. 2) Put paste into a bowl and add boiling chicken stock. 3) Stir well before adding lemon juice, vinegar, sugar and salt. 4) Leave it for at least 1 hour to pickle before serving. Ingredients: 120 g red chilies, 60 g shallots or 60 g onions, peeled, 60 g garlic, peeled, 60 g fresh young ginger, 12 tablespoons lemon juice, 2 teaspoons rice vinegar, 4 teaspoons sugar, 2 teaspoons salt, 1 cup boiling chicken stock","120 g red chilies, 60 g shallots or 60 g onions, peeled, 60 g garlic, peeled, 60 g fresh young ginger, 12 tablespoons lemon juice, 2 teaspoons rice vinegar, 4 teaspoons sugar, 2 teaspoons salt, 1 cup boiling chicken stock, chinese"
