title,instructions,ingredients
Singapore Rice Noodles,"Bring a large pot of water to a boil.
Drop in the rice noodles and boil until tender but firm to the bite, 1 to 2 minutes.
Drain and rinse under cold water.
Let the noodle air-dry and firm up in a colander for at least 30 minutes or as long as 2 to 3 hours; toss occasionally.
When you are ready to prepare the dish, whisk together the eggs, 1/2 teaspoon of the curry powder, and all of the sesame oil until blended.
Spoon 1/2 tablespoon of the peanut or vegetable oil into a heavy skillet or wok set over moderately high heat.
Pour in the egg mixture and immediately reduce the heat to low.
Scramble the eggs until just set; turn out onto a plate and reserve.
Return the skillet to moderately high heat and spoon in 1/2 tablespoon of the oil.
Add the shrimp and stir fry until just barely cooked, about 1 minute (they will cook more later).
Remove the shrimp and reserve in a small bowl.
Return the skillet to moderately high heat and spoon in 1 tablespoon of the oil.
Add the pork and chicken and stir fry until just cooked, about 1 minute.
Remove and reserve in a small bowl.
Place a large, heavy wok over high heat.
When very hot, spoon in 2 tablespoons of the oil.
Add the ginger, garlic, chilies, and the remaining curry powder.
Stir fry until fragrant, about 30 seconds.
Add the Chinese pork or ham and red and green bell peppers and stir fry for 30 seconds.
Sprinkle on 1 to 2 tablespoons of water and cook until it boils away.
Push the ingredients to the sides of the wok and add the remaining 1 tablespoon oil.
Add the scallions, bean sprouts, and noodles and toss over high heat until very hot, about 30 seconds.
Pour in the chicken broth and bring to a boil.
Return the shrimp, pork, and chicken to the wok and add the soy sauce and sherry.
Toss well and add the salt and the reserved scrambled eggs.
Sprinkle on the cilantro and turn out onto a larger platter.
Serve hot.","['7 -8 ounces fine dried noodles (rice sticks)', '3 large eggs', '2 tablespoons curry powder', '2 teaspoons oriental sesame oil', '5 tablespoons peanut oil or 5 tablespoons vegetable oil', '8 ounces medium shrimp, shelled and deveined', '4 ounces raw lean pork, trimmed and cut into 1/4 inch julienne', '4 ounces boneless skinless chicken breasts, cut into 1/4 inch julienne', '1 tablespoon minced fresh ginger', '1 garlic clove, minced', '1 -2 fresh hot chili pepper, partly seeded and slivered', '3 ounces Chinese barbecue pork or 3 ounces smoked ham, cut into 1/4 inch julienne', '1/2 red bell pepper, cut into 1/4 inch julienne', '1/2 green bell pepper, cut into 1/4 inch julienne', '12 whole scallions, cut diagonally into 1 1/2 inch lengths', '1 1/2 cups fresh bean sprouts or 1 1/2 cups shredded napa cabbage', '1/2 cup chicken broth', '3 tablespoons soy sauce', '2 tablespoons dry sherry', '1 pinch salt', '2 tablespoons chopped fresh cilantro']"
Singapore Chilli Prawns (Shrimp),"Heat oil and stir fry prawns until they change colour.
Remove to a plate.
Add garlic, ginger, black bean paste and chilli, stir fry for 1-2 minutes.
Return prawns to wok with ketchup, vinegar and sugar, stir fry until hot.
Sprinkle with chives and serve with rice.","['2 tablespoons oil', '500 g green prawns (uncooked)', '1 teaspoon ginger, minced', '2 teaspoons garlic, minced', '2 teaspoons black bean paste', '1 tablespoon chili, minced', '1/4 cup ketchup', '1 tablespoon malt vinegar', '2 teaspoons brown sugar', 'chives (to garnish)']"
Singapore Noodles,"Put the noodles in a small heatproof bowl and cover with boiling water and set aside for 5 minutes and then drain and separate3 noodles and set aside.
Brush a large wok with the oil and heat on high and ad the beef mince and cook, stirring to break up mince for 2 to 3 minutes or until lightly browned and then add the garlic, onion, broccoli and carrot and stir fry to 2 to 3 minutes or until the vegetables are almost tender.
Add the cabbage, curry powder, kecap manis, sherry and noodles to the wok and stir fry for 2 minutes or until the cabbage has softened.
Divide noodle mixture between shallow bowls to serve.","['250 g singapore noodles (fresh they a thin Chinese egg noodles)', '1/4 teaspoon olive oil', '250 g lean ground beef (extra lean beef mince)', '2 garlic cloves (minced)', '1 brown onion (cut into thin wedges)', '250 g broccoli (cut into small florets)', '1 carrot (small thinly sliced diagonally)', '195 g Chinese cabbage (3 cups finely shredded)', '2 teaspoons curry powder', '2 teaspoons ketjap manis', '2 tablespoons sherry wine']"
Fragrant Taro Rice/Yam Rice,"Rinse white rice for 2 times with water, drain off the water completely.
Steam lap cheong for 10 minutes until cooked through.
cut ingredients
Chop scallion. Dice lap cheong. Slice shallot. Dice taro. Dice soaked mushroom. Finely chop soaked dried shrimp.
fried shallot
Add shallot to 200 g of cooking oil, mix well. Cook over medium-high heat until lightly browned. Off the heat, continue to cook with residual heat until golden brown. Put fried shallot on a sieve to drain off the oil, set aside to cool.
cook ingredients
Preheat 6 tbsps of cooking oil, add in dried shrimp, cook over medium heat for 2 minutes. Add in mushroom and taro, cook for another 2 minutes.
Add in uncooked white rice, continue to cook for 2 minutes.
add in seasoning
Add oyster sauce, dark soy sauce and fine salt to 100 g of water from soaking ingredients, mix well, add to white rice, cook until liquid has dried up.
add water, cook in rice cooker
Transfer to rice cooker, add in 650 g of water from soaking ingredients, cook with “White Rice” function. (Reminder: Adjust the amount of water added according to the type of white rice you use.)
add in lap cheong and scallion
When the rice is cooked, add in lap cheong and scallion, mix well.
Garnish with fried shallot
Garnish with some fried shallot before serving.","['450 g uncooked white rice', '2 sticks lap cheong (Chinese sausage)', '1 stalk scallion', '100 g shallot', '300 g taro', '30 g mushroom (soaked & drained, keep the soaking water)', '50 g dried shrimp (soaked & drained, keep the soaking water)', '100 g water (+650 g from soaking ingredients)', '1 tbsp oyster sauce', '1 ¼ tsps dark soy sauce', '¾ tsp fine salt']"
Ham Egg Tomato Fried Rice (Omelette Rice),"Break 3 eggs in a bowl and scoop out 1 egg yolk.
Add the egg yolk to the rice and mix well.
Add a suitable amount of salt and pepper to the 2 eggs left and beat well.
Fry the eggs on an oiled pan to make a simple omelette and set aside.
On a heated oiled pan, add onions, tomato cubes and ham. Fry them and set them aside.
Fried Rice: Add rice and fry with high heat, after that add some green onions and soy sauce to taste.
Add 3 tbsps of tomato sauce into the fried rice and mix well.
Add in the fried onions, tomato cubes and ham and mix well.
On a bowl, lie the omelette flat and add the fried rice into the bowl.
Ham egg tomato fried rice (Omelette rice) is done!","['2 bowls white rice (leftover rice)', '1 tomato (peeled, cut into cubes)', '3 tbsps tomato sauce', '1 onion (cut into cubes)', '1 stalk green onion', '3 eggs', '1 tbsp soy sauce', 'salt and pepper to taste']"
Black Silkie Chicken Soup With Coconut And American Ginseng,"Tap hard around the equator of the coconut using the back of a heavy knife or hammer. Continue while rotating with your hand until the coconut is cracked open. Use a bowl to catch the coconut juice when it splits open.
Remove coconut flesh by plying between hard coconut shell and meat. Apply some pressure and the meat will pop right out. Cut into small pieces.
Plying between hard coconut shell and meat to remove coconut flesh.
Wash and thoroughly clean the coconut flesh.
Remove chicken skin, blanch in boiling water.
Wash and clean chicken flesh in running water.
Add in coconut, american ginseng, red date and silkie chicken.
Add in coconut juice and 1.8l of boiling water or until all ingredients is completely submerge.
Slow cook for 4 hours.
Soak dried wolfberries for a few minutes.
15 minutes before serving, remove excess fat from the soup. Add in soaked wolfberries and salt to taste.
Healthy and delicious, silkie chicken soup with ginseng and coconut.","['1 brown (matured coconut)', '1 silkie chicken (black chicken)', '10 g wolfberries', '5 g American ginseng', '5 red date', '1.8 liter of water']"
Lotus Root Peanut Soup With Pork Ribs,"Soak raw peanuts overnight help softens them. Wash and clean lotus root, remove the skin with a peeler, cut into thin slices. Wash dried cuttlefish and cut into small pieces.
Wash wolfberry and set aside to soak.
Blanch and rinse pork ribs, this helps to remove excess fat and give you a clearer soup.
Bring 2.5 liter of water to the boil, add in all ingredients except wolfberry. Bring the soup to the boil and turn to low heat, simmer for 2.5 hours.
Remove excess oil from soup using a fine mesh oil skimmer.
Add in soaked wolfberry and cook for another 15 minutes.
Add in 2 tsp of salt or to taste shortly before taking the soup off stove.
Serve hot and enjoy.","['150 g raw peanuts (soak overnight)', '350 g lotus root (sliced)', '500 g pork ribs (wash and blanch)', '10 red dates (jujube)', '15 g goji berry or wolfberry (wash and soak)', '15 g dried cuttlefish (optional)', '2.5 liter water', '2 tsp salt']"
Chinese Green Papaya Soup Recipe,"Blanche pork ribs with hot water.
Rinse the pork ribs with water.
Soak wolfberries with cold water and set aside.
Rinse green papaya and peel the skin off.
Remove the seeds with a spoon
Cut the papaya into 1-inch thick cubes
Add the papayas into the pot and when it boils, simmer for 1 1/2 hours to 2 hours. Add wolfberries 15 minutes before serving.
Add salt to taste before serving.
A delicious green papaya soup with pork ribs is done. Serve hot.","['650 g green papaya (1 medium-sized)', '400 g pork ribs', '10 g wolfberries', '8 cups water', '2 tsp salt (to taste)']"
Bang Kuang Char/Jiu Hu Char (Stir-fried Jicama),"Add ingredients for marinade to pork belly strips, mix well.
Slice jicama and carrot using mandolin slicer, then cut into thin strips.
Preheat cooking wok, add in cooking oil, add in chopped garlic and cook until fragrant.
Add in pork and cuttlefish strips, sliced mushroom and ground pepper, cook until fragrant.
Add in jicama and carrot, stir-fry until fragrant.
Add in mushroom soaking water, bring to the boil.
Turn to medium-low heat, cover and cook for 15 minutes (stir once after 10 minutes).
Season with salt, then mix in green onion.","['100 g skinless pork belly (cut into thin strips)', '400 g jicama', '80 g carrot', '3 tbsps cooking oil', '30 g garlic (chopped)', '25 g dried cuttlefish (soaked, cut into thin strips)', '30 g mushrooms (soaked, thinly sliced)', '⅓ tsp ground pepper', '350 ml mushroom soaking water', '¾ tsp fine salt', '20 g green onion (cut into 2-inch pieces)', '⅛ tsp fine salt', '⅛ tsp ground pepper', '¼ tsp fine sugar', '¼ tsp cornstarch', '¼ tsp sesame oil']"
Peranakan Style Nyonya Acar Recipe,"bake & chop peanuts
Spread raw peanuts evenly on a baking tray, preheat the oven, and bake at 170°C/340°F for 15 minutes, or until golden brown. Set aside to cool completely before removing the skin of the peanuts. Note: Baking time may vary depending on your oven. Crush the peanuts with a food processor.
Toast white sesame seeds in a dry pan over medium heat for about 3-4 minutes until golden brown and fragrant.
Cut veggies
Wash and clean carrot, long beans, cucumber, and cabbage, cut into 3 cm thin strips.
marinate veggies with salt
Mix vegetable strips with 2 Tablespoons of salt, marinate for 30 minutes.
rinse veggies
Discard leftover liquid, rinse with clean water, drain through with a colander.
blanch veggies
Bring a large pot of water to a full rolling boil, blanch, or briefly cook the vegetable strips for 60 seconds.
dry veggies
Spread evenly on a clean cloth, air drying using a fan, or place in a well-ventilated area to dry the vegetable strips for at least an hour.
Cut pineapple into short strips, about 3 cm in length.
stir-fry pineapple
Add some oil to a skillet, stir-fry pineapple over high heat for 2-3 minutes, or until heated through.
prepare chili paste
Add 2 stalks of lemongrass, 200g fresh chili (de-seed), 80g shallot, 30g garlic, 12g galangal, 5g dry chili (de-seed), ½ tsp turmeric, 160g oil in a blender. Process all ingredients to a smooth chili paste.
cook chili paste
Add 4 tbsps of oil, pour chili paste into the cooking pan, bring to the boil. Reduce to medium or medium-low heat, cook for 8-10 minutes until fragrant.
Add sugar, salt & vinegar
Stir in 100 g sugar, 1 tsp salt, and 150 ml rice vinegar, bring the mixture to boil.
Add in veggies
Scoop off excess oil from the chili paste. Mix in vegetables and pineapple, turn off the heat.
Add in sesame & peanuts
Stir in sesame seeds and peanuts.
Serve
Allow cooling completely before storing it. Keep nyonya acar refrigerated for up to a month.","['100 g peanut', '80 g white sesame seeds', '200 g carrot', '200 g long bean', '200 g cucumber', '200 g cabbage', '2 tbsps salt', '300 g pineapple', '2 sticks of lemongrass', '200 g fresh red chilli (de-seed)', '80 g shallot', '30 g garlic', '12 g Galangal', '5 g dried chilli (de-seed)', '½ tsp turmeric', '160 g oil', '4 tbsps oil', '150 ml rice vinegar', '100 g sugar', '1 tsp salt']"
